title,titleL,family,maxPoints
Актинидия коломикта,Actinidia kolomikta,Актинидиевые,3
Астра ивовая,Aster salignus Willd. ,Сложноцветные,2
Астрагал нутовый,Astragalus cicer,Бобовые,3
Астрагал солодколистный,Astragalus glycyphyllos L.,Бобовые,3
Барбарис,Barbaris sp.,Барбарисовые,1
Бедренец камнеломка,Pimpinella saxifraga L.,Зонтичные,2
Белоус торчащий,Nardus stricta L.,Злаки,4
Береза повислая,Betula pendula Roth. ,Березовые,1
Береза пушистая,Betula alba L. ,Березовые,1
Бересклет бородавчатый,Euonymus verrucosa Scop. ,Бересклетовые,2
Бодяк обыкновенный,Cirsium vulgare (Savi) Ten.,Сложноцветные,2
Бодяк овощной,Cirsium oleraceum (L.) Scop. ,Сложноцветные,3
Бодяк полевой; розовый осот,Cirsium arvense (L.) Scop. ,Сложноцветные,2
Бодяк польский,Cirsium polonicum (Petr.) Iljin,Сложноцветные,2
Болотница болотная (Ситняг болотный),Eleocharis palustris (L.) Roem. & Schult.,Осоковые,4
Борец северный (высокий),Aconitum septentrionale Koelle,Лютичные,2
Бородавник обыкновенный,Lapsana communis L.,Сложноцветные,3
Борщевик сибирский,Heracleum sibiricum L.,Зонтичные,2
Борщевик Сосновского,Heracleum sosnowskyi Manden.,Зонтичные,2
Будра плющевидная,Glechoma hederacea L. ,Губоцветные,2
Бузина красная,Sambucus racemosa L. ,Бузиновые,1
Буквица лекарственная,Betonica officinalis L. ,Губоцветные,2
Бутень ароматный,Chaerophyllum aromaticum L.,Зонтичные,3
Валериана лекарственная,Valeriana officinalis L. ,Валериановые,3
Василек луговой,Centaurea jacea L. ,Сложноцветные,2
Вейник наземный,Calamagrostis epigeios (L.) ,Злаки,3
Вербейник монетчатый(луговой чай),Lysimachia nummularia L.,Первоцветные,3
Вербейник обыкновенный,Lysimachia vulgaris L. ,Первоцветные,2
Вероника длиннолистная,Veronica longifolia  L.,Норичниковые,2
Вероника дубравная,Veronica chamaedrys L. ,Норичниковые,2
Вероника лекарственная,Veronica officinalis L.,Норичниковые,2
Вероника поручейная,Veronica beccabunga L. ,Норичниковые,3
Вероника тимьянолистная,Veronica serpyllifolia,Норичниковые,4
Вишня обыкновенная,Cerasus vulgaris Mill.,Розоцветные,1
Волдырник ягодный,Cucubalus baccifer L.,Гвоздичные,4
Воронец колосистый,Actaea spicata L.,Лютиковые,3
Вороний глаз четырехлистный,Paris quadrifolia L.,Триллиевые,3
Вьюнок полевой,Convolvulus arvensis L. ,Вьюнковые,3
Вяз гладкий (берест),Ulmus laevis Pall,Вязовые,2
Вяз голый (шершавый),Ulmus glabra Huds. ,Вязовые,2
Галинсога мелкоцветковая,Galinsoga parviflora Cav.,Сложноцветные,2
Гвоздика бородатая,Dianthus barbatus,Гвоздичные,2
Герань болотная,Geranium palustre L. ,Гераниевые,2
Герань лесная,Geranium sylvaticum L. ,Гераниевые,2
